Crop,Nitrogen (kg/acre),Carbon (kg/acre),Moisture (liters/acre),Minerals (kg/acre)
Sunflower,41,76,1705,27
Spinach,76,112,2254,23
Sesame,77,116,2288,26
Tomato,72,105,2223,44
Sugarcane,61,85,2212,41
Capsicum,39,64,2274,17
Chickpea,42,73,2126,43
Tomato,44,79,1661,22
Turmeric,39,76,1555,41
Millet,52,74,1920,32
Cotton,71,93,1748,43
Turmeric,54,76,1998,27
Brinjal,57,90,1958,41
Chickpea,55,76,1799,41
Sesame,44,66,2049,20
Wheat,62,98,2581,31
Potato,72,108,1976,42
Sunflower,69,102,1751,21
Cauliflower,37,68,1618,24
Wheat,66,104,2509,45
Tomato,65,87,2551,34
Spinach,74,101,1932,45
Okra,62,100,1865,26
Tomato,58,92,2047,44
Sunflower,75,106,2435,41
Sunflower,50,78,2271,26
Mustard,39,73,2316,17
Millet,69,106,2292,40
Rice,65,87,1597,40
Potato,39,59,1663,37
Beetroot,80,112,2185,36
Sugarcane,61,98,2203,39
Maize,80,101,2355,21
Maize,36,75,1838,17
Pumpkin,71,93,1961,28
Chickpea,70,99,2038,43
Brinjal,36,63,1645,41
Sesame,67,104,2305,40
Groundnut,76,110,1928,44
Maize,66,101,2357,37
Potato,66,97,1660,39
Chickpea,78,100,2268,23
Garlic,50,74,2160,38
Pea,42,70,2074,17
Millet,50,73,2082,41
Pea,74,108,2528,16
Maize,53,78,1972,24
Sesame,69,103,1949,18
Okra,46,86,2188,23
Garlic,44,73,2582,17
Wheat,79,119,1805,24
Brinjal,42,76,1880,33
Groundnut,42,63,2026,42
Okra,50,85,2550,35
Turmeric,71,93,1784,43
Cotton,71,101,2016,40
Mustard,40,77,1620,21
Carrot,47,67,2167,21
Ginger,46,86,2395,29
Cabbage,55,82,2422,36
Garlic,59,85,2445,19
Lentil,59,82,2501,37
Wheat,79,101,2235,42
Chickpea,77,98,1821,45
Mustard,46,72,1712,44
Tomato,42,73,2017,23
Chickpea,47,76,1983,18
Barley,64,89,1963,19
Rice,78,106,2284,37
Wheat,56,84,1655,17
Carrot,65,95,2515,30
Ginger,75,106,2339,30
Barley,37,67,2276,41
Cotton,72,106,2044,17
Turmeric,52,85,2155,22
Mustard,79,114,1866,29
Mustard,45,68,1793,28
Pea,80,100,1905,20
Millet,80,112,2197,39
Capsicum,64,93,2124,17
Chickpea,56,79,1961,24
Capsicum,40,74,1608,20
Chickpea,79,114,2184,27
Cauliflower,41,74,1967,30
Garlic,60,80,2172,19
Carrot,59,86,2143,34
Rice,41,77,2555,38
Carrot,79,117,2105,24
Soybean,46,81,1650,40
Potato,63,94,2355,32
Tomato,67,93,1890,18
Rice,76,108,2091,33
Potato,67,101,2269,33
Mustard,37,66,2473,18
Carrot,55,80,2163,16
Capsicum,69,93,2453,33
Soybean,56,91,1528,33
Rice,49,69,1717,16
Chickpea,68,106,1874,22
Spinach,64,101,1950,41
Wheat,58,87,2285,21
Onion,42,71,2121,43
Capsicum,72,98,2033,30
Sesame,50,86,2280,42
Rice,56,88,1532,44
Pumpkin,49,87,1535,38
Carrot,51,82,1686,26
Rice,62,90,2022,34
Tomato,72,106,1517,24
Cotton,41,63,2110,37
Capsicum,35,59,2306,15
Maize,41,73,2490,28
Wheat,71,102,1756,32
Sunflower,79,102,1608,20
Ginger,42,71,1836,33
Ginger,67,90,2201,33
Carrot,80,101,1780,15
Potato,42,71,2376,21
Okra,41,79,1712,43
Garlic,44,66,2499,37
Tomato,61,84,2559,30
Chickpea,41,63,1543,38
Barley,56,95,2037,21
Ginger,60,95,1948,16
Sugarcane,69,95,1517,32
Spinach,76,102,2585,22
Pea,72,106,2316,44
Tomato,78,115,2392,21
Okra,77,110,1727,28
Cauliflower,44,66,2354,41
Tomato,43,82,2346,29
Maize,58,89,1720,45
Ginger,61,97,2118,34
Sunflower,43,69,2513,37
Groundnut,64,97,2378,40
Beetroot,80,118,1765,17
Pumpkin,46,71,2579,40
Carrot,65,103,1942,33
Ginger,37,58,1738,19
Onion,36,56,2400,26
Turmeric,71,106,1537,33
Turmeric,67,97,1584,45
Potato,71,100,2025,38
Onion,63,91,2141,31
Mustard,63,88,1901,27
Carrot,62,98,2264,40
Lentil,80,107,1565,30
Potato,39,73,1908,24
Rice,61,99,2495,25
Pea,43,72,1683,21
Wheat,48,86,1637,35
Barley,50,84,1540,20
Onion,59,94,2356,27
Garlic,48,76,1903,36
Rice,66,97,2399,31
Sesame,56,86,2406,37
Wheat,44,76,2249,20
Pumpkin,43,79,1833,36
Cotton,64,88,1731,37
Lentil,53,77,1584,39
Sunflower,79,115,2098,40
Beetroot,73,110,2036,38
Ginger,71,103,2155,45
Cauliflower,43,68,2464,39
Turmeric,55,77,2404,32
Groundnut,54,86,1671,17
Onion,54,88,1927,16
Brinjal,51,84,1626,20
Cabbage,43,82,2161,45
Cauliflower,79,103,1951,23
Pea,74,114,2438,38
Groundnut,59,93,1527,41
Rice,45,67,2026,44
Barley,73,112,1748,20
Sesame,36,67,2243,38
Carrot,62,84,1867,44
Sunflower,66,90,2197,33
Mustard,52,79,2541,33
Potato,71,96,2048,25
Sunflower,42,74,1746,26
Capsicum,67,92,2347,25
Soybean,49,89,1600,45
Chickpea,53,93,2388,28
Groundnut,37,59,2007,17
Garlic,65,96,1930,34
Cauliflower,65,104,1990,30
Millet,71,110,1543,42
Carrot,58,98,2336,33
Cauliflower,51,75,2479,30
Ginger,76,98,2009,25
Sunflower,64,99,2370,31
Millet,52,89,1991,26
Mango,81,118,2371,42
Banana,91,126,3835,52
Apple,70,109,2091,43
Grapes,60,95,2083,33
Orange,68,103,2246,35
Papaya,83,123,2857,42
Pomegranate,77,114,2103,38
Guava,73,110,2516,40
Watermelon,91,125,3475,45
Pineapple,88,126,3132,48
Mango,85,123,2677,44
Banana,92,135,3944,50
Apple,73,111,2195,37
Grapes,55,100,2126,37
Orange,64,105,1994,41
Papaya,80,123,2945,39
Pomegranate,72,115,2477,40
Guava,68,108,2569,39
Watermelon,92,130,3698,50
Pineapple,84,125,2882,46
Mango,80,117,2688,48
Banana,90,126,4003,47
Apple,75,106,2019,37
Grapes,59,99,1804,37
Orange,67,97,2072,35
Papaya,88,130,2934,42
Pomegranate,77,120,2349,39
Guava,66,109,2543,38
Watermelon,92,130,3415,48
Pineapple,90,120,3030,45
Mango,80,115,2617,44
Banana,94,125,4103,47
Apple,69,112,2379,40
Grapes,60,98,2001,33
Orange,60,97,1997,39
Papaya,86,125,2922,45
Pomegranate,76,110,2112,36
Guava,63,106,2564,36
Watermelon,97,125,3481,46
Pineapple,93,128,2903,44
Mango,77,121,2469,42
Banana,87,126,4032,51
Apple,75,108,2176,40
Grapes,60,96,1886,38
Orange,61,104,2278,36
Papaya,80,130,2724,43
Pomegranate,80,115,2399,39
Guava,73,109,2465,41
Watermelon,93,132,3419,47
Pineapple,86,125,2857,46
Mango,75,117,2335,42
Banana,88,132,3820,47
Apple,68,110,2106,42
Grapes,58,91,2187,35
Orange,60,104,2198,35
Papaya,80,128,2831,45
Pomegranate,71,119,2360,37
Guava,65,105,2242,42
Watermelon,90,126,3422,51
Pineapple,93,123,3058,44
Mango,83,124,2479,43
Banana,89,134,4072,47
Apple,73,115,2331,38
Grapes,56,97,2007,32
Orange,67,101,2036,39
Papaya,89,126,2616,40
Pomegranate,80,115,2493,36
Guava,64,105,2232,41
Watermelon,90,130,3673,47
Pineapple,89,124,2941,49
Mango,82,116,2567,47
Banana,93,135,3995,47
Apple,75,114,2045,38
Grapes,58,92,2171,32
Orange,63,102,1992,38
Papaya,85,130,2933,44
Pomegranate,80,114,2195,39
Guava,67,106,2347,41
Watermelon,95,129,3430,45
Pineapple,83,123,3011,43
Mango,85,123,2561,42
Banana,87,133,4113,50
Apple,67,105,2266,42
Grapes,61,91,1862,36
Orange,64,95,2213,41
Papaya,89,125,2630,39
Pomegranate,73,119,2418,34
Guava,70,108,2314,38
Watermelon,96,132,3584,46
Pineapple,83,127,2859,44
Mango,82,118,2548,46
Banana,94,125,4020,51
Apple,71,113,2239,38
Grapes,64,97,1839,38
Orange,68,96,1960,36
Papaya,84,122,2961,39
Pomegranate,73,119,2110,37
Guava,66,104,2247,38
Watermelon,96,125,3508,48
Pineapple,87,126,2997,43
Dragon Fruit,90,56,3409,60
